booking_id,booked_on,arrival,nights,rooms,rate,currency,segment,rate_code,source,room_type,company,status,status_date,updated_on
S-0031,2025-01-03,2025-03-20,1,1,0,EUR,COMP,,Agoda,STD,,stayed,,
S-0032,2025-01-02,2025-01-03,1,1,152.42,EUR,PHONE,,Agoda,STD,,stayed,,
S-0033,2024-12-03,2025-01-04,1,1,215.1,EUR,EXPEDIA,,Walk-in,DLX,,stayed,,
S-0034,2025-01-17,2025-03-11,3,1,137.22,EUR,BOOKING,,,DLX,,stayed,,
S-0035,2025-02-11,2025-04-16,2,1,167.0,EUR,BOOKING,,,STD,,stayed,,
S-0036,2025-03-19,2025-03-19,2,1,187.63,EUR,BOOKING,,Web,STD,,stayed,,
S-0037,2024-11-16,2025-02-11,0,1,0,EUR,COMP,,Web,STD,,cancelled,,
S-0038,2024-12-21,2025-01-25,2,1,155.91,EUR,WEB,,,DLX,,cancelled,2025-01-21,
S-0039,2025-01-15,2025-03-20,2,1,166.55,EUR,EXPEDIA,,,STD,,stayed,,
S-0040,2025-01-24,2025-03-31,1,1,229.6,EUR,CORP,,Agoda,DLX,ACME,booked,,
S-0041,2024-11-27,2025-01-16,3,1,0,EUR,COMP,,Agoda,DLX,,stayed,,
S-0042,2024-12-14,2025-01-10,4,1,99.34,EUR,CORP,,Walk-in,STD,ACME,cancelled,2024-12-20,
S-0043,2025-01-16,2025-02-02,0,1,0,EUR,COMP,,,DLX,,stayed,,
S-0044,2024-10-28,2025-01-21,2,1,258.87,EUR,EXPEDIA,,,DLX,,stayed,,
S-0045,2025-01-29,2025-02-23,3,1,139.53,EUR,DEFAULT,BAR,Walk-in,DLX,,stayed,,
S-0046,2024-11-28,2025-02-26,2,1,188.55,EUR,WEB,,Web,STD,,stayed,,
S-0047,2025-03-30,2025-04-28,1,1,77.52,EUR,PHONE,,Agoda,DLX,,stayed,,
S-0048,2025-03-22,2025-04-07,3,8,225.61,EUR,GROUP,,Walk-in,STD,ACME,cancelled,2025-04-03,
S-0049,2025-01-29,2025-02-05,0,1,121.1,EUR,BOOKING,,Web,STD,,stayed,,
S-0050,2025-03-11,2025-04-13,1,1,82.66,EUR,PHONE,,Web,DLX,,stayed,,
S-0051,2024-11-20,2025-01-02,1,5,188.12,EUR,GROUP,,Agoda,STD,ACME,booked,,
S-0052,2024-12-19,2025-01-21,1,1,189.45,EUR,WEB,,Agoda,DLX,,stayed,,
S-0053,2024-12-25,2025-02-27,4,1,73.45,EUR,BOOKING,,Walk-in,STD,,stayed,,
S-0054,2024-12-31,2025-01-02,1,1,247.58,EUR,EXPEDIA,,Web,DLX,,stayed,,
S-0055,2025-01-22,2025-03-26,1,6,200.67,EUR,GROUP,,Walk-in,STD,ACME,booked,,
S-0056,2025-01-17,2025-04-17,1,1,256.56,EUR,BOOKING,,Agoda,STD,,stayed,,
S-0057,2024-10-22,2025-01-10,0,1,86.05,EUR,CORP,,,DLX,ACME,stayed,,
S-0058,2025-02-15,2025-03-18,1,1,99.93,EUR,CORP,,,STD,ACME,stayed,,
S-0059,2024-12-19,2025-02-03,2,1,131.47,EUR,DEFAULT,BAR,Web,DLX,,booked,,
S-0060,2024-12-14,2025-01-28,2,1,85.94,EUR,BOOKING,,Walk-in,STD,,stayed,,
S-0061,2024-11-29,2025-02-01,4,1,87.05,EUR,WEB,,,STD,,stayed,,
S-0062,2025-02-18,2025-02-20,1,1,86.05,EUR,CORP,,Agoda,DLX,ACME,stayed,,
S-0063,2025-02-26,2025-04-08,3,1,0,EUR,COMP,,Agoda,STD,,stayed,,
S-0064,2025-02-10,2025-04-16,4,5,166.05,EUR,GROUP,,Agoda,STD,ACME,cancelled,,
S-0065,2024-12-30,2025-01-04,0,1,141.56,EUR,BOOKING,,,STD,,stayed,,
S-0066,2025-03-20,2025-03-22,0,1,156.82,EUR,EXPEDIA,,Web,STD,,stayed,,
S-0067,2025-01-18,2025-03-26,2,1,117.92,EUR,PHONE,,Agoda,STD,,cancelled,2025-02-21,
S-0068,2024-11-08,2025-01-30,2,1,0,EUR,COMP,,Web,DLX,,stayed,,
S-0069,2025-01-30,2025-04-27,2,1,190.23,EUR,CORP,,Agoda,DLX,ACME,cancelled,2025-02-10,
S-0070,2024-11-11,2025-02-02,1,1,72.37,EUR,CORP,,Web,DLX,ACME,stayed,,
S-0071,2024-11-10,2025-02-04,3,1,163.03,EUR,PHONE,,Walk-in,DLX,,stayed,,
S-0072,2025-01-01,2025-03-01,2,1,107.86,EUR,PHONE,,Web,DLX,,booked,,
S-0073,2024-11-27,2025-01-03,2,1,0,EUR,COMP,,,DLX,,stayed,,
S-0074,2025-01-24,2025-02-19,0,1,96.93,EUR,EXPEDIA,,Walk-in,DLX,,stayed,,
S-0075,2024-11-01,2025-01-17,3,1,139.39,EUR,CORP,,,DLX,ACME,in_house,,
S-0076,2025-02-17,2025-02-20,2,1,199.5,EUR,BOOKING,,,DLX,,stayed,,
S-0077,2025-03-17,2025-04-04,1,7,92.97,EUR,GROUP,,Web,DLX,ACME,stayed,,
S-0078,2025-02-23,2025-04-07,1,7,205.47,EUR,GROUP,,Walk-in,DLX,ACME,stayed,,
S-0079,2024-11-20,2025-01-09,2,8,84.52,EUR,GROUP,,Walk-in,STD,ACME,booked,,
S-0080,2025-01-23,2025-02-05,1,1,190.64,EUR,WEB,,,DLX,,cancelled,2025-02-01,
S-0081,2024-12-09,2025-01-25,4,8,214.71,EUR,GROUP,,Agoda,STD,ACME,in_house,,
S-0082,2024-11-16,2025-01-07,1,1,0,EUR,COMP,,Walk-in,DLX,,stayed,,
S-0083,2024-10-29,2025-01-07,2,1,135.3,EUR,BOOKING,,Walk-in,DLX,,stayed,,
S-0084,2025-01-12,2025-04-05,1,1,127.16,EUR,CORP,,,STD,ACME,stayed,,
S-0085,2024-11-01,2025-01-22,2,1,242.13,EUR,BOOKING,,,STD,,stayed,,
S-0086,2025-01-16,2025-02-27,2,1,0,EUR,COMP,,Agoda,STD,,stayed,,
S-0087,2024-12-21,2025-01-12,1,1,115.43,EUR,DEFAULT,BAR,Walk-in,STD,,stayed,,
S-0088,2025-04-22,2025-04-24,3,8,169.59,EUR,GROUP,,Walk-in,DLX,ACME,stayed,,
S-0089,2025-03-31,2025-04-07,1,1,0,EUR,COMP,,Agoda,STD,,stayed,,
S-0090,2024-12-09,2025-01-12,3,1,154.71,EUR,EXPEDIA,,Walk-in,STD,,stayed,,
S-0091,2025-01-13,2025-01-17,4,5,159.92,EUR,GROUP,,,DLX,ACME,cancelled,2025-01-17,
S-0092,2025-01-27,2025-02-27,1,1,169.25,EUR,PHONE,,Web,DLX,,stayed,,
S-0093,2024-11-02,2025-01-11,1,1,114.19,EUR,WEB,,Web,DLX,,stayed,,
S-0094,2024-10-29,2025-01-17,2,1,202.73,EUR,CORP,,Web,STD,ACME,stayed,,
S-0095,2024-12-03,2025-01-10,1,1,220.19,EUR,EXPEDIA,,Web,STD,,stayed,,
S-0096,2025-01-31,2025-03-10,1,1,0,EUR,COMP,,Agoda,DLX,,stayed,,
S-0097,2025-02-07,2025-03-09,2,1,203.88,EUR,EXPEDIA,,Walk-in,STD,,stayed,,
S-0098,2024-12-10,2025-01-03,3,1,0,EUR,COMP,,,STD,,in_house,,
S-0099,2025-01-04,2025-02-02,1,7,163.66,EUR,GROUP,,,DLX,ACME,booked,,
S-0100,2025-02-07,2025-03-29,1,1,210.43,EUR,EXPEDIA,,Web,STD,,stayed,,
S-0101,2025-02-08,2025-03-05,1,1,113.85,EUR,CORP,,Walk-in,STD,ACME,cancelled,2025-02-09,
S-0102,2025-01-17,2025-03-21,2,1,149.24,EUR,BOOKING,,Web,STD,,in_house,,
S-0103,2025-03-10,2025-04-29,2,1,96.96,EUR,WEB,,Web,STD,,stayed,,
S-0104,2024-12-05,2025-01-24,1,1,0,EUR,COMP,,Web,STD,,in_house,,
S-0105,2025-04-09,2025-04-30,3,1,247.82,EUR,DEFAULT,BAR,,STD,,stayed,,
S-0106,2024-11-16,2025-02-09,1,7,154.06,EUR,GROUP,,Web,DLX,ACME,cancelled,2025-01-30,
S-0107,2025-02-08,2025-02-23,4,1,226.1,EUR,EXPEDIA,,,STD,,stayed,,
S-0108,2024-10-09,2025-01-07,2,1,0,EUR,COMP,,,STD,,stayed,,
S-0109,2024-12-27,2025-02-11,2,1,0,EUR,COMP,,Agoda,DLX,,stayed,,
S-0110,2024-11-19,2025-01-06,4,1,244.81,EUR,WEB,,Walk-in,STD,,stayed,,
S-0111,2025-03-29,2025-04-06,1,1,251.96,EUR,DEFAULT,BAR,Web,DLX,,stayed,,
S-0112,2025-01-08,2025-04-06,1,1,70.72,EUR,DEFAULT,TO-SUMMER,Web,STD,,booked,,
S-0113,2025-03-18,2025-04-16,2,1,251.24,EUR,PHONE,,,DLX,,stayed,,
S-0114,2025-03-03,2025-04-27,2,1,0,EUR,COMP,,Agoda,STD,,stayed,,
S-0115,2025-03-06,2025-04-13,1,1,233.64,EUR,BOOKING,,,DLX,,stayed,,
S-0116,2025-01-25,2025-04-11,2,1,213.05,EUR,PHONE,,Agoda,DLX,,stayed,,
S-0117,2024-10-18,2025-01-09,2,1,131.89,EUR,WEB,,,STD,,stayed,,
S-0118,2024-12-08,2025-01-10,2,1,164.71,EUR,PHONE,,,STD,,stayed,,
S-0119,2025-01-13,2025-01-30,3,5,114.64,EUR,GROUP,,Walk-in,DLX,ACME,stayed,,
S-0120,2024-11-25,2025-02-05,3,1,119.46,EUR,CORP,,,STD,ACME,stayed,,
S-0121,2024-12-24,2025-01-24,2,1,105.77,EUR,EXPEDIA,,Web,DLX,,stayed,,
S-0122,2025-01-02,2025-02-02,0,1,194.13,EUR,EXPEDIA,,Web,STD,,stayed,,
S-0123,2024-11-02,2025-01-01,1,1,77.67,EUR,EXPEDIA,,Web,STD,,cancelled,2024-12-25,
S-0124,2025-01-03,2025-03-18,1,1,167.41,EUR,EXPEDIA,,Agoda,DLX,,booked,,
S-0125,2025-02-14,2025-03-19,2,1,204.84,EUR,WEB,,Walk-in,STD,,stayed,,
S-0126,2024-11-19,2025-01-05,1,1,259.98,EUR,DEFAULT,TO-SUMMER,Web,STD,,stayed,,
S-0127,2025-04-14,2025-04-15,1,1,105.18,EUR,DEFAULT,BAR,Walk-in,STD,,stayed,,
S-0128,2025-01-23,2025-01-27,0,1,0,EUR,COMP,,,STD,,stayed,,
S-0129,2025-02-21,2025-04-12,0,1,194.08,EUR,BOOKING,,,DLX,,stayed,,
S-0130,2025-01-17,2025-02-22,0,1,129.35,EUR,CORP,,Walk-in,DLX,ACME,stayed,,
S-0131,2025-02-21,2025-02-23,2,1,208.33,EUR,DEFAULT,BAR,Agoda,STD,,stayed,,
S-0132,2025-02-05,2025-02-25,0,7,147.18,EUR,GROUP,,,STD,ACME,stayed,,
S-0133,2025-01-16,2025-01-17,3,1,223.23,EUR,WEB,,,STD,,stayed,,
S-0134,2024-12-26,2025-03-15,1,1,97.72,EUR,DEFAULT,TO-SUMMER,Agoda,STD,,cancelled,2025-01-08,
S-0135,2024-11-26,2025-01-14,4,1,0,EUR,COMP,,Agoda,DLX,,cancelled,,
S-0136,2025-01-12,2025-01-17,2,1,0,EUR,COMP,,,STD,,stayed,,
S-0137,2025-02-06,2025-04-26,4,1,112.19,EUR,BOOKING,,,STD,,stayed,,
S-0138,2025-02-16,2025-04-17,0,1,145.95,EUR,BOOKING,,Agoda,DLX,,stayed,,
S-0139,2025-01-31,2025-02-15,3,1,224.97,EUR,BOOKING,,Agoda,STD,,stayed,,
S-0140,2025-02-12,2025-04-24,1,1,92.37,EUR,WEB,,,DLX,,stayed,,
S-0141,2025-01-31,2025-03-25,2,1,143.95,EUR,CORP,,Walk-in,DLX,ACME,stayed,,
S-0142,2025-01-09,2025-03-06,2,1,257.37,EUR,BOOKING,,,STD,,stayed,,
S-0143,2024-12-10,2025-02-27,4,1,0,EUR,COMP,,Web,STD,,cancelled,2025-02-14,
S-0144,2024-12-22,2025-02-15,2,1,165.82,EUR,DEFAULT,TO-SUMMER,Web,STD,,stayed,,
S-0145,2025-03-07,2025-03-23,1,1,217.75,EUR,PHONE,,Web,STD,,booked,,
S-0146,2025-02-02,2025-04-07,4,5,95.88,EUR,GROUP,,Web,STD,ACME,stayed,,
S-0147,2024-11-16,2025-01-17,4,1,101.37,EUR,CORP,,Agoda,STD,ACME,booked,,
S-0148,2025-03-04,2025-04-17,2,1,122.25,EUR,CORP,,,STD,ACME,stayed,,
S-0149,2024-11-30,2025-02-02,1,1,0,EUR,COMP,,Agoda,DLX,,stayed,,
S-0150,2025-02-13,2025-02-17,1,1,190.95,EUR,EXPEDIA,,Walk-in,DLX,,stayed,,
S-0151,2025-03-08,2025-04-25,1,1,91.86,EUR,BOOKING,,Walk-in,DLX,,cancelled,2025-03-16,
S-0152,2025-01-06,2025-03-13,2,1,189.66,EUR,PHONE,,,DLX,,stayed,,
S-0153,2024-12-17,2025-02-03,1,1,132.86,EUR,DEFAULT,BAR,Web,DLX,,stayed,,
S-0154,2025-01-08,2025-01-30,2,1,118.19,EUR,WEB,,Walk-in,STD,,stayed,,
S-0155,2025-04-02,2025-04-06,2,1,188.87,EUR,EXPEDIA,,,DLX,,stayed,,
S-0156,2025-04-19,2025-04-25,2,1,194.09,EUR,BOOKING,,Web,STD,,stayed,,
S-0157,2024-10-21,2025-01-01,2,1,137.86,EUR,DEFAULT,BAR,Agoda,DLX,,stayed,,
S-0158,2025-02-06,2025-03-16,2,1,227.41,EUR,BOOKING,,Agoda,STD,,stayed,,
S-0159,2024-12-02,2025-01-02,0,1,191.26,EUR,BOOKING,,Walk-in,DLX,,stayed,,
S-0160,2025-03-12,2025-04-14,4,1,176.84,EUR,WEB,,Walk-in,DLX,,stayed,,
S-0161,2025-01-12,2025-03-19,0,1,0,EUR,COMP,,Web,STD,,stayed,,
S-0162,2025-03-07,2025-03-10,1,5,81.09,EUR,GROUP,,Web,STD,ACME,stayed,,
S-0163,2024-11-28,2025-01-19,3,1,166.32,EUR,EXPEDIA,,,STD,,stayed,,
S-0164,2025-01-27,2025-03-07,0,1,258.87,EUR,PHONE,,,STD,,stayed,,
S-0165,2024-12-25,2025-02-18,3,1,0,EUR,COMP,,,STD,,stayed,,
S-0166,2025-01-16,2025-01-29,0,1,93.42,EUR,CORP,,Walk-in,STD,ACME,stayed,,
S-0167,2024-11-15,2025-02-04,2,7,254.66,EUR,GROUP,,Agoda,STD,ACME,stayed,,
S-0168,2025-02-18,2025-04-23,1,1,229.93,EUR,WEB,,Agoda,STD,,stayed,,
S-0169,2025-02-24,2025-04-06,1,1,184.23,EUR,EXPEDIA,,,DLX,,in_house,,
S-0170,2024-12-25,2025-03-02,2,1,251.58,EUR,WEB,,Agoda,DLX,,no_show,,
S-0171,2025-03-16,2025-04-12,0,6,177.39,EUR,GROUP,,Agoda,STD,ACME,stayed,,
S-0172,2024-12-21,2025-01-04,1,1,135.52,EUR,PHONE,,Agoda,STD,,stayed,,
S-0173,2024-12-30,2025-01-04,3,1,78.1,EUR,BOOKING,,Web,STD,,stayed,,
S-0174,2024-10-26,2025-01-09,4,1,171.44,EUR,DEFAULT,TO-SUMMER,Web,DLX,,stayed,,
S-0175,2024-12-14,2025-01-14,0,1,76.54,EUR,EXPEDIA,,Web,DLX,,stayed,,
S-0176,2025-02-19,2025-03-03,4,1,192.8,EUR,BOOKING,,Walk-in,DLX,,stayed,,
S-0177,2024-12-21,2025-02-13,1,1,246.72,EUR,CORP,,Web,DLX,ACME,stayed,,
S-0178,2025-03-17,2025-04-27,2,1,0,EUR,COMP,,Web,DLX,,no_show,,
S-0179,2024-11-10,2025-01-04,3,1,79.14,EUR,PHONE,,Agoda,STD,,stayed,,
S-0180,2025-02-07,2025-03-15,2,1,108.39,EUR,BOOKING,,Web,STD,,stayed,,
S-0181,2024-12-14,2025-02-14,4,1,226.81,EUR,PHONE,,,DLX,,stayed,,
S-0182,2025-02-11,2025-04-17,1,1,123.91,EUR,CORP,,Agoda,STD,ACME,stayed,,
S-0183,2025-02-12,2025-03-05,4,1,85.37,EUR,PHONE,,Web,DLX,,booked,,
S-0184,2025-02-03,2025-02-15,3,5,86.37,EUR,GROUP,,Walk-in,STD,ACME,booked,,
S-0185,2025-01-06,2025-02-08,2,6,102.51,EUR,GROUP,,,STD,ACME,booked,,
S-0186,2024-12-24,2025-03-10,1,1,169.13,EUR,WEB,,,DLX,,stayed,,
S-0187,2024-11-24,2025-01-22,1,1,0,EUR,COMP,,Agoda,STD,,stayed,,
S-0188,2024-12-15,2025-02-12,1,1,127.29,EUR,EXPEDIA,,Agoda,STD,,stayed,,
S-0189,2024-12-22,2025-02-01,1,1,251.6,EUR,DEFAULT,BAR,Walk-in,STD,,stayed,,
S-0190,2024-10-30,2025-01-22,1,1,256.93,EUR,PHONE,,Walk-in,DLX,,stayed,,
S-0191,2025-01-21,2025-02-25,0,1,123.35,EUR,EXPEDIA,,,DLX,,stayed,,
S-0192,2025-01-04,2025-01-05,2,7,201.75,EUR,GROUP,,,STD,ACME,no_show,,
S-0193,2024-12-18,2025-01-19,1,8,242.52,EUR,GROUP,,,STD,ACME,stayed,,
S-0194,2025-01-03,2025-03-27,3,1,93.6,EUR,EXPEDIA,,,DLX,,stayed,,
S-0195,2024-11-15,2025-02-03,1,1,218.65,EUR,PHONE,,Agoda,DLX,,in_house,,
S-0196,2025-02-24,2025-04-19,2,1,0,EUR,COMP,,,STD,,stayed,,
S-0197,2025-02-01,2025-04-25,2,1,228.06,EUR,DEFAULT,BAR,Web,STD,,cancelled,,
S-0198,2024-11-25,2025-02-02,4,1,250.75,EUR,EXPEDIA,,Agoda,DLX,,stayed,,
S-0199,2024-11-01,2025-01-13,3,1,0,EUR,COMP,,,STD,,stayed,,
